cluster;gene;avrg_expression;pct_expression;ligand
DN1p_Rh7;Dh31-R;0.373;89.20187793;DH31
DN1a;Dh31-R;-0.543;55.09259259;DH31
l-LNv;Dh44-R1;-0.401;78.57142857;DH44
s-LNv;Dh44-R1;-0.345;73.25227964;DH44
LN_ITP;Dh44-R1;0.411;83.96946565;DH44
LNd_NPF;Dh44-R1;0.027;84.84848485;DH44
LNd_Trissin;Dh44-R1;-0.498;38.75;DH44
LPN;Dh44-R1;-0.161;56.60377358;DH44
DN3;Dh44-R1;-0.207;64.83516484;DH44
DN3_VGlut;Dh44-R1;0.286;87.90322581;DH44
DN2;Dh44-R1;-0.432;59.80392157;DH44
DN1p_sNPF;Dh44-R1;2.081;93.81443299;DH44
DN1p;Dh44-R1;0.087;75.83892617;DH44
DN1p_AstA;Dh44-R1;0.596;85.51724138;DH44
DN1p_CNMa;Dh44-R1;-0.019;64.70588235;DH44
DN1p_CNMa_AstC;Dh44-R1;-0.334;69.53125;DH44
DN1p_Rh7;Dh44-R1;-0.251;55.8685446;DH44
DN1a;Dh44-R1;-0.506;37.03703704;DH44
l-LNv;Dh44-R2;0.401;77.14285714;DH44
s-LNv;Dh44-R2;0.012;60.79027356;DH44
LN_ITP;Dh44-R2;0.627;84.73282443;DH44
LNd_NPF;Dh44-R2;-0.189;42.8030303;DH44
LNd_Trissin;Dh44-R2;0.338;91.25;DH44
LPN;Dh44-R2;0.509;92.45283019;DH44
DN3;Dh44-R2;0.73;73.62637363;DH44
DN3_VGlut;Dh44-R2;0.214;74.19354839;DH44
DN2;Dh44-R2;-0.291;35.29411765;DH44
DN1p_sNPF;Dh44-R2;-0.051;54.63917526;DH44
DN1p;Dh44-R2;-0.11;48.99328859;DH44
DN1p_AstA;Dh44-R2;0.014;55.17241379;DH44
DN1p_CNMa;Dh44-R2;-0.283;36.97478992;DH44
DN1p_CNMa_AstC;Dh44-R2;-0.228;27.08333333;DH44
DN1p_Rh7;Dh44-R2;-0.123;44.1314554;DH44
DN1a;Dh44-R2;-0.02;49.53703704;DH44
l-LNv;NPFR;-0.213;40;NPF
s-LNv;NPFR;-0.421;18.54103343;NPF
LN_ITP;NPFR;-0.082;54.19847328;NPF
LNd_NPF;NPFR;0.26;73.48484848;NPF
LNd_Trissin;NPFR;0.219;82.5;NPF
LPN;NPFR;1.336;96.22641509;NPF
DN3;NPFR;0.656;63.73626374;NPF
DN3_VGlut;NPFR;-0.087;50;NPF
DN2;NPFR;-0.17;39.21568627;NPF
DN1p_sNPF;NPFR;-0.065;59.79381443;NPF
DN1p;NPFR;-0.229;20.80536913;NPF
DN1p_AstA;NPFR;-0.224;39.31034483;NPF
DN1p_CNMa;NPFR;0.326;65.54621849;NPF
DN1p_CNMa_AstC;NPFR;-0.116;62.76041667;NPF
DN1p_Rh7;NPFR;-0.054;45.07042254;NPF
DN1a;NPFR;0.059;75;NPF
l-LNv;Pdfr;-0.2;98.57142857;PDF
s-LNv;Pdfr;0.067;98.48024316;PDF
LN_ITP;Pdfr;0.965;100;PDF
LNd_NPF;Pdfr;-0.643;93.18181818;PDF
LNd_Trissin;Pdfr;1.259;100;PDF
LPN;Pdfr;0.246;100;PDF
DN3;Pdfr;-0.445;97.8021978;PDF
DN3_VGlut;Pdfr;-0.511;97.58064516;PDF
DN2;Pdfr;1.303;100;PDF
DN1p_sNPF;Pdfr;0.764;98.96907216;PDF
DN1p;Pdfr;1.458;100;PDF
DN1p_AstA;Pdfr;0.399;98.62068966;PDF
DN1p_CNMa;Pdfr;1.362;100;PDF
DN1p_CNMa_AstC;Pdfr;1.541;100;PDF
DN1p_Rh7;Pdfr;-0.422;98.5915493;PDF
DN1a;Pdfr;0.406;99.53703704;PDF
l-LNv;Proc-R;0.142;82.85714286;Proc
s-LNv;Proc-R;0.01;68.08510638;Proc
LN_ITP;Proc-R;-0.398;41.22137405;Proc
LNd_NPF;Proc-R;0.245;77.27272727;Proc
LNd_Trissin;Proc-R;-0.386;37.5;Proc
LPN;Proc-R;-0.204;50.94339623;Proc
DN3;Proc-R;0.134;73.62637363;Proc
DN3_VGlut;Proc-R;0.182;78.22580645;Proc
DN2;Proc-R;-0.072;63.7254902;Proc
DN1p_sNPF;Proc-R;-0.17;63.91752577;Proc
DN1p;Proc-R;0.069;69.79865772;Proc
DN1p_AstA;Proc-R;0.357;77.24137931;Proc
DN1p_CNMa;Proc-R;-0.432;31.93277311;Proc
DN1p_CNMa_AstC;Proc-R;-0.286;45.83333333;Proc
DN1p_Rh7;Proc-R;-0.333;43.66197183;Proc
DN1a;Proc-R;-0.048;65.27777778;Proc
l-LNv;sNPF-R;0.409;88.57142857;sNPF
s-LNv;sNPF-R;-0.425;48.93617021;sNPF
LN_ITP;sNPF-R;-0.43;68.70229008;sNPF
LNd_NPF;sNPF-R;-0.477;53.78787879;sNPF
LNd_Trissin;sNPF-R;-0.393;64.375;sNPF
LPN;sNPF-R;0.42;92.45283019;sNPF
DN3;sNPF-R;1.292;91.20879121;sNPF
DN3_VGlut;sNPF-R;-0.573;44.35483871;sNPF
DN2;sNPF-R;-0.131;71.56862745;sNPF
DN1p_sNPF;sNPF-R;0.543;87.62886598;sNPF
DN1p;sNPF-R;0.538;88.59060403;sNPF
DN1p_AstA;sNPF-R;-0.188;68.96551724;sNPF
DN1p_CNMa;sNPF-R;-0.437;58.82352941;sNPF
DN1p_CNMa_AstC;sNPF-R;-0.455;56.25;sNPF
DN1p_Rh7;sNPF-R;2.002;95.30516432;sNPF
DN1a;sNPF-R;-0.326;62.03703704;sNPF
l-LNv;TrissinR;-0.226;77.14285714;Trissin
s-LNv;TrissinR;-0.31;58.35866261;Trissin
LN_ITP;TrissinR;-0.226;80.15267176;Trissin
LNd_NPF;TrissinR;-0.418;38.25757576;Trissin
